"","numConnetablie","connetablie"
"1","1°","En le rue d'Aubemarle, au les deviers les Malades "
"2","2°1","En le Grant rue "
"3","3°","En le rue dou Gardin "
"4","4°","Sour le fosset si c'on va ou Mares Douysien "
"5","2° bis","Dehuers le porte dou Markiet en le Grant rue "
"6","5°","En le ruiele Ydain le Cousturiere "
"7","6°","En l'atre Nostre Dame "
"8","7°","Sour le fosset si c'on va a Barllet "
"9","8°","En le rue Pepin "
"10","9°","A Barllet, sour le place "
"11","10°","Devens le porte dou Markiet "
"12","11°","Ou Pont "
"13","12°1","En le Grant rue au Cierf "
"14","13°1","Dehuers le porte au Chierf, sour le fosset "
"15","12° bis","En le Grant rue "
"16","14°","En le premiere ruiele de Barllet "
"17","15°","En le moiene rue de Barllet "
"18","16°","En le rue dou Bourdiel "
"19","17°","Dehuers le porte Olivet, en le rue des Bougres "
"20","18°","Dehuers le porte de Cunteleu "
"21","19°","En le rue le Provost "
"22","20°","En le rue des Escos "
"23","21°","Devens le porte Canteleu, en le rue Dame Augut "
"24","22°1","En le Grand rue devens le porte "
"25","23°1","En le rue de Belaing "
"26","24°","Deriere le Maselaine "
"27","25°","En le rue des Luisiaus, devant le boukete de l'atre "
"28","26°1","Ens ou fosset Maugart "
"29","27°","En le rue Saint Piere "
"30","28°","En le rue des Drakiers "
"31","29°","En le rue dou Maisiel a le char "
"32","30°1","En le rue dou Puch Fullori, si c'on va ou Maisiel as porees "
"33","31°","En le ruiele Espinoke le Rous "
"34","32°","En le rue d'Ainfroi "
"35","33°","Ou Més "
"36","34°","Ou petit Més "
"37","35°","En le rue des Foulons "
"38","36°","Au pont ou Cardonnoit "
"39","37°","Devens le porte de Lannoit "
"40","38°","Deriere Saint Venant "
"41","39°","Dehuers le porte Saint-Nicholaï, si c'on va en Lannoit "
"42","40°","Au Four des Eves "
"43","41°","En le rue de l'Aubiel "
"44","42°","En le rue Pute i muce "
"45","43°","Ou Castiel bourgois "
"46","44°1","Ou Maisiel au pisson "
"47","45°","Es Viés Maisiaus "
"48","46°","En le Saunerie "
"49","47°","Sour le Rivage et en le place dou Maisiel as porees "
"50","48°","Ou Maisiel as porees "
"51","49°","En le rue devens le porte des Wés "
"52","50°","Dehuers le porte des Wés, en le Grant rue "
"53","51°","En le rue Paskendale "
"54","52°","En le rue Nueve "
"55","53°","En le rue de l'Aubelet "
"56","54°","En le rue des Bouloires "
"57","54° bis","En le rue Au Sach [De ficit] 55° En le rue Maulevaut "
"58","55°","En le rue Maulevaut "
"59","56°","En le rue Williaume de Saint Aubin "
"60","57°","En le rue de Corbie "
"61","58°","En le rue Fai en paille "
"62","59°1","Dehuers le porte Saint-Jakeme, en le Grant rue "
"63","60°","En le rue Saint Jehan "
"64","61°","En le rue le Carpentiere "
"65","62°","En l'atre Saint Jakeme "
"66","63°","Devant le maison segneur Baude le Baude "
"67","64°","En le place de Deuwioel "
"68","65°","Outre le pont Sainte Margrite "
"69","66°","En le rue des Meriens "
"70","67°","A le fontaine Cahet "
"71","68°","Outre le pont Wicart "
"72","69°","En le rue Jordain Clinchart "
"73","44° bis","En le Grant rue dehuers le porte Saint Jakeme "
"74","59° bis","Dehuers le porte dou pont A l'Estanke En le basse rue des Navieurs "
"75","70°","En le Grant rue Saint Aubin, au pont de Piere "
"76","71°","A Oscre "
"77","72°","A Camp Florit "
"78","73°","A Doregni "
"79","74°","En le rue de le Trinité "
"80","75°","Dehuers le porte au Cherf "
"81","13° bis","Ou fosset Maugart "
"82","26° bis","En le rue de Belaing "
"83","23° bis","Devens le porte de Canteleu "
"84","22° bis","Au Puch Fullori "
