"","Source","Target","NumEscroete","Ecol"
"1","SYMON BUEE","JAKEMON DE PIERONNE","I1","#E41A1C"
"2","JEHAN PIEDOUL","JAKEMON DE PIERONNE","I1","#E41A1C"
"4","WATIER LE CLERC","JEHAN MULET","I1","#E41A1C"
"5","JEHAN MULET","CRESTIIEN LE MERCHIER","I1","#E41A1C"
"6","MARIIEN DE SYM","CRESTIIEN LE MERCHIER","I1","#E41A1C"
"7","SYMON BELOT","JAKEMON LE PLAKEUR","I1","#E41A1C"
"8","MARIEN DE RANSART","JAKEMON LE PLAKEUR","I1","#E41A1C"
"9","AGNIÉS DOU RIÉS","ukn0","I1","#E41A1C"
"10","AMANT DE LANDAST","ukn0","I1","#E41A1C"
"11","AMANT DE LANDAST","HUON DE HERENGHES","I1","#E41A1C"
"12","WILLIAUME LE CODENT","HUON DE HERENGHES","I1","#E41A1C"
"13","GILLION DE BIETUNE","JEHENNAIN DE CARVIN","I1","#E41A1C"
"14","JEHAN LE CARLIER","JEHENNAIN DE CARVIN","I1","#E41A1C"
"15","HUON DE HERENGHES","JEHAN BOUKEHORT","I1","#E41A1C"
"16","PIERONNAIN DE COURCIELES","JEHAN BOUKEHORT","I1","#E41A1C"
"17","JEHAN LE PIGNIER","HUON DE HERENGHES","I1","#E41A1C"
"18","HUON DE HERIN","JEHAN DE LEWARDE","I1","#E41A1C"
"19","WILLIAUME RAMET","JEHAN DE LEWARDE","I1","#E41A1C"
"20","SOHIER DOU MARÉS","ROBIERT DE FIERIN","I1","#E41A1C"
"21","PIERON LE RAMET","ukn1","I1","#E41A1C"
"22","JEHAN MOUTON","ukn1","I1","#E41A1C"
"23","SYMON DE PIERONNE","BAUDE L'ARTISIEN","I1","#E41A1C"
"24","MARIIEN LE LIENARDE","WILLIAUME LE VESKE","I1","#E41A1C"
"25","JEHAN DE RIENCOURT","ROBIERT CIERFUEL","I1","#E41A1C"
"26","LAMBIERT D'ARRAS","ROBIERT CIERFUEL","I1","#E41A1C"
"27","HENRI DOU PUCH","UZILIIEN D'OSTRICORT","I1","#E41A1C"
"28","GOSSART POURCIEL","ukn2","I1","#E41A1C"
"29","WATIER DE FERIN","ukn2","I1","#E41A1C"
"30","JEHAN DE VITERI","ALAIN LE PANETIER","I1","#E41A1C"
"31","JEHAN LAVENDIER","ALAIN LE PANETIER","I1","#E41A1C"
"32","JEHAN LAVENDIER","ukn3","I1","#E41A1C"
"33","MIKIEL DOU GARDIN","ukn3","I1","#E41A1C"
"34","HENRI VINGRE","JEHAN ROUSIEL","I1","#E41A1C"
"35","WILLIAUME DE SAILLI","JEHAN ROUSIEL","I1","#E41A1C"
"36","POLET LE MERCHIER","JEHAN MOUTON","I1","#E41A1C"
"37","SYMON BUEE","JEHAN MOUTON","I1","#E41A1C"
"38","GHILLAIN D'ESTREES","WATIER RAINGOT","I1","#E41A1C"
"39","BAUDE D'ESTREES","WATIER RAINGOT","I1","#E41A1C"
"40","FRERES MENUS","MARTIN DE DICHI","I1","#E41A1C"
"42","MARTIN DE DICHI","JAKEMON LE VAKIER","I1","#E41A1C"
"43","ALOY LE BARBETEUR","JAKEMON LE VAKIER","I1","#E41A1C"
"44","CLIMENCHIIEN DE GAIGNAING","GHILLAIN LEUREUSE","I1","#E41A1C"
"46","GHILLAIN LEUREUSE","WERIN CHASE DIEU","I1","#E41A1C"
"48","WERIN CHASE DIEU","RAOUL D'ERCHIN","I1","#E41A1C"
