"","numEscroete","escroete","numConnetablie","connetablie","rdv","numRente","rente"
"1","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","1°","En le rue d'Aubemarle, au les deviers les Malades ","A","1.1","Sour 6 maisons JAKEMON DE PIERONNE, ki furent BOURGHAIN BOSCHOISE, et sour tout le tennement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement SYMON BUEE, d'une part, et le tenement JEHAN PIEDOUL, d'autre part. "
"2","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","1°","En le rue d'Aubemarle, au les deviers les Malades ","A","2.2","Sour 2 maisons JEHAN MULET. ki furent MARIIEN DE SYM et furent ausi les Charteriers, et sour tout le tenement, aprés le fons de le tiere, demi marc. Si sient entre le tenement CRESTIIEN LE MERCHIER, d'une part, et le tenement WATIER LE CLERC, d'autre part. "
"3","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","1°","En le rue d'Aubemarle, au les deviers les Malades ","A","3.3","Sour 6 maisons CRESTIIEN LE MERCHIER, ki furent BAUDUIN D'ERCHIN, et sour tot le tenement, demi marc et 2 s. par. Si sient entre le tenement JEHAN MULET, d'une part, et le tenement MARIIEN DE SYM, d'autre part. "
"4","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","1°","En le rue d'Aubemarle, au les deviers les Malades ","A","4.4","Sour 3 maisons JAKEMON LE PLAKEUR et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement SYMON BELOT, d'une part, et le tenement MARIEN DE RANSART, d'autre part.  "
"5","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","1°","En le rue d'Aubemarle, au les deviers les Malades ","B","5.5","Sour les maisons Lotin et sour le gardin, et sour tout le tenement, aprés le fons de le tiere, demi ferton. Si sient entre le tenement AGNIÉS DOU RIÉS, d'une part, et le tenement AMANT DE LANDAST, d'autre part. "
"6","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","1°","En le rue d'Aubemarle, au les deviers les Malades ","B","6.6","Sour le maison HUON DE HERENGHES et sour tout le tenement, 12 douysiens et 2 capons, dou fons de le tiere. Si siet entre le tenement AMANT DE LANDAST, d'une part, et le tenement WILLIAUME LE CODENT, d'autre part.   "
"7","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","7.1","Sour tout le tenement des Malades, 2 s. de douysiens et 2 capons, dou fons de le tiere. "
"8","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","8.2","Sour le maison JEHENNAIN DE CARVIN et sour le maison NICHOLON DES CAMPIAUS, et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement GILLION DE BIETUNE, d'une part, et le tenement JEHAN LE CARLIER, d'autre part. "
"9","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","9.3","Sour le maison JEHAN BOUKEHORT et sour tout le tenement, aprés le fons de le tiere, demi marc. Si siet entre le tenement HUON DE HERENGHES, d'une part, et le tenement PIERONNAIN DE COURCIELES, d'autre part. "
"10","I1","En l'escroete dou Markiet, dehuers le porte Vakereche ","2°1","En le Grant rue ","A","10.4","Sour 3 maisons HUON DE HERENGHES, ki furent JEHAN LESCUTIER, et sour tout le tenement, aprés le fons de le tiere, 1 marc. Si sient entre le tenement JEHAN LE PIGNIER, d'une part, et le tenement HUON DE HERENGHES, d'autre part, u il maint. "
