"Source","Target","NumEscroete"
"SYMON BUEE","JAKEMON DE PIERONNE","I1"
"JEHAN PIEDOUL","JAKEMON DE PIERONNE","I1"
"WATIER LE CLERC","JEHAN MULET","I1"
"JEHAN MULET","CRESTIIEN LE MERCHIER","I1"
"MARIIEN DE SYM","CRESTIIEN LE MERCHIER","I1"
"SYMON BELOT","JAKEMON LE PLAKEUR","I1"
"MARIEN DE RANSART","JAKEMON LE PLAKEUR","I1"
"AGNIÉS DOU RIÉS","ukn0","I1"
"AMANT DE LANDAST","ukn0","I1"
"AMANT DE LANDAST","HUON DE HERENGHES","I1"
"WILLIAUME LE CODENT","HUON DE HERENGHES","I1"
"GILLION DE BIETUNE","JEHENNAIN DE CARVIN","I1"
"JEHAN LE CARLIER","JEHENNAIN DE CARVIN","I1"
"HUON DE HERENGHES","JEHAN BOUKEHORT","I1"
"PIERONNAIN DE COURCIELES","JEHAN BOUKEHORT","I1"
"JEHAN LE PIGNIER","HUON DE HERENGHES","I1"
"HUON DE HERIN","JEHAN DE LEWARDE","I1"
"WILLIAUME RAMET","JEHAN DE LEWARDE","I1"
"SOHIER DOU MARÉS","ROBIERT DE FIERIN","I1"
"PIERON LE RAMET","ukn1","I1"
"JEHAN MOUTON","ukn1","I1"
"SYMON DE PIERONNE","BAUDE L'ARTISIEN","I1"
"MARIIEN LE LIENARDE","WILLIAUME LE VESKE","I1"
"JEHAN DE RIENCOURT","ROBIERT CIERFUEL","I1"
"LAMBIERT D'ARRAS","ROBIERT CIERFUEL","I1"
"HENRI DOU PUCH","UZILIIEN D'OSTRICORT","I1"
"GOSSART POURCIEL","ukn2","I1"
"WATIER DE FERIN","ukn2","I1"
"JEHAN DE VITERI","ALAIN LE PANETIER","I1"
"JEHAN LAVENDIER","ALAIN LE PANETIER","I1"
"JEHAN LAVENDIER","ukn3","I1"
"MIKIEL DOU GARDIN","ukn3","I1"
"HENRI VINGRE","JEHAN ROUSIEL","I1"
"WILLIAUME DE SAILLI","JEHAN ROUSIEL","I1"
"POLET LE MERCHIER","JEHAN MOUTON","I1"
"SYMON BUEE","JEHAN MOUTON","I1"
"GHILLAIN D'ESTREES","WATIER RAINGOT","I1"
"BAUDE D'ESTREES","WATIER RAINGOT","I1"
"FRERES MENUS","MARTIN DE DICHI","I1"
"MARTIN DE DICHI","JAKEMON LE VAKIER","I1"
"ALOY LE BARBETEUR","JAKEMON LE VAKIER","I1"
"CLIMENCHIIEN DE GAIGNAING","GHILLAIN LEUREUSE","I1"
"GHILLAIN LEUREUSE","WERIN CHASE DIEU","I1"
"WERIN CHASE DIEU","RAOUL D'ERCHIN","I1"
"JEHAN DE FRANCHE","RAOUL D'ERCHIN","I1"
"JEHAN DE FRANCHE","SAINTAIN DE DICHI","I1"
"ALAIN LE PANETIER","SAINTAIN DE DICHI","I1"
"EUBERI LE LEU","HENNIN POURCELET","I1"
"JEHAN DE BAPAUMES","HENNIN POURCELET","I1"
"WERIN BARDE","ukn4","I1"
"ROBERT D'ESTREES","ukn4","I1"
"EMMELOT BOINE BROKE","GILLION LOUVRI","I1"
"MARIIEN LOUVRI","GILLION LOUVRI","I1"
"PIERON FAUKE","SAUWALON PAINMOULLIET","I1"
"MARIIEN PAINMOULLIET","PIERON FAUKE","I1"
"HENNIN CHASSE DIEU","PIERON FAUKE","I1"
"ROBIERT CIERFUEL","MEHAUT LE FAVERESSE","I1"
"JEHAN DE FRANCHE","MEHAUT LE FAVERESSE","I1"
"JEHAN DE FRANCHE","MAROTAIN PAINMOULLIET","I1"
"MARIIEN LE SOURDE","MAROTAIN PAINMOULLIET","I1"
"GRART PAINMOULLIET","MARIIEN LE SOURDE","I1"
"MARIIEN LE SOURDE","HENNIN LE HUGIER","I1"
"GILLION LE ROGIER","MARGOT LE MERCHIERE","I1"
"GILLION LE ROGIER","AALIS AUDEGON","I1"
"SIMON MALET","PIERON LANGEVILLE","I1"
"SARAIN DE LANNOIT","PIERON LANGEVILLE","I1"
"RICHART POURCIEL","JEHAN DOU BOS","I1"
"RICHART POURCIEL","ukn5","I1"
"JULIANE LE DAULEE","ukn5","I1"
"MARIIEN LE SEBYLE","JAKEMON DE PROUVINS","I1"
"AGNIÉS DOU RIÉS","JAKEMON DE PROUVINS","I1"
"LEURENC LOURE","JEHAN DE SYM","I1"
"CLIMENT LE WANTIER","JEHAN DE SYM","I1"
"JEHAN DE SYM","BAUDUIN LE SOIEUR","I1"
"YSABIEL DE HAINNAU","BAUDUIN LE SOIEUR","I1"
"GRART LELEU","WISTASSE LE WANTIER","I1"
"ENMAIN DE BARLET","WISTASSE LE WANTIER","I1"
"HUON DE SYM","WILLIAUME DE BARLET","I1"
"ROBIERT GRAVIEL","WILLIAUME DE BARLET","I1"
"COLART LE BOURGOIS","JEHAN LE CARLIER","I1"
"ROBIERT GRAVIEL","JEHAN LE CARLIER","I1"
"EVRART GOULET","ROBIERT LE BLONT","I1"
"AGNIÉS DOU RIÉS","PIERON CHEVALIER","I1"
"SAINTAIN LE CHEVALIERE","PIERON D'AUBI","I1"
"PIERON D'AUBI","JEHAN DE LE CAVENE","I1"
"WAUBIERT BAUDENNE","JEHAN DE LE CAVENE","I1"
"JEHAN DE LE CAVENE","COLART LE RIKIER","I1"
"COLART LE RIKIER","WAUBIERT LE KIEVRE","I1"
"AMANT DE LANDAST","WAUBIERT LE KIEVRE","I1"
"AGNIÉS LE LEU","HENRI DODIN","I1"
"ROGIER LE FEVRE","HENRI DODIN","I1"
"JEHAN DE LANETE","ROGIER LE FEVRE","I1"
